hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
סלמה,3552.0,196.0,14.0,0.0,0.0,0.0,72.0,1683.147817,8060.0,32.8936503,35.3699046,מועצה אזורית משגב,ישוב
צורית,949.0,345.0,4.0,0.0,0.0,0.0,70.0,449.6923581,8060.0,32.9030676,35.2523745,מועצה אזורית משגב,ישוב
מכמנים,609.0,488.0,4.0,0.0,0.0,0.0,72.0,288.5802402,8060.0,32.9061108,35.3287602,מועצה אזורית משגב,ישוב
יובלים,1100.0,189.0,5.0,0.0,0.0,0.0,70.0,521.245101,8060.0,32.8775051,35.2705626,מועצה אזורית משגב,ישוב
טל-אל,1271.0,116.0,5.0,0.0,0.0,0.0,66.0,602.2750272,8060.0,32.9272624,35.1772552,מועצה אזורית משגב,ישוב
מירון,1136.0,703.0,10.0,0.0,0.0,0.0,71.0,603.8625794,7875.0,32.9886409,35.440278,מועצה אזורית מרום הגליל,ישוב
עין אל אסד,920.0,536.0,11.0,0.0,0.0,0.0,72.0,489.0436408,7875.0,32.9402935,35.4010052,מועצה אזורית מרום הגליל,ישוב
שזור,306.0,282.0,5.0,0.0,0.0,0.0,68.0,162.660169,7875.0,32.9327346,35.3535015,מועצה אזורית מרום הגליל,ישוב
עלמה,698.0,674.0,8.0,0.0,0.0,0.0,71.0,371.0352852,7875.0,33.0521283,35.4988072,מועצה אזורית מרום הגליל,ישוב
כרם בן זמרה,535.0,822.0,6.0,0.0,0.0,0.0,71.0,284.3895044,7875.0,33.0388862,35.468049,מועצה אזורית מרום הגליל,ישוב
כפר חנניה,781.0,326.0,8.0,0.0,0.0,0.0,72.0,415.1555278,7875.0,32.9161093,35.4241459,מועצה אזורית מרום הגליל,ישוב
טפחות,492.0,82.0,5.0,0.0,0.0,0.0,71.0,261.5320308,7875.0,32.8684279,35.4238096,מועצה אזורית מרום הגליל,ישוב
ריחאנייה,1242.0,673.0,4.0,0.0,0.0,0.0,71.0,660.208911,7875.0,33.0482032,35.4872846,מועצה אזורית מרום הגליל,ישוב
חוואלד,773.0,119.0,5.0,0.0,0.0,0.0,61.0,312.1100664,6459.0,32.7707681,35.1360134,מועצה אזורית זבולון,ישוב
שייח דנון,3031.0,84.0,11.0,0.0,0.0,0.0,66.0,1433.842213,7403.0,32.9943175,35.1479211,מועצה אזורית מטה אשר,ישוב
עמקה,833.0,81.0,12.0,0.0,0.0,0.0,67.0,394.0582446,7403.0,32.9792441,35.1642671,מועצה אזורית מטה אשר,ישוב
נתיב השיירה,504.0,43.0,15.0,0.0,0.0,0.0,66.0,238.4218019,7403.0,32.9928246,35.1355166,מועצה אזורית מטה אשר,ישוב
ערב אל עראמשה,1750.0,428.0,28.0,0.0,0.0,0.0,69.0,827.8534611,7403.0,33.0908246,35.2135827,מועצה אזורית מטה אשר,ישוב
כפר חסידים,1143.0,14.0,11.0,0.0,0.0,0.0,58.0,461.5029802,6459.0,32.7519478,35.0935521,מועצה אזורית זבולון,ישוב
כפר ביאליק,835.0,10.0,4.0,0.0,0.0,0.0,63.0,337.143474,6459.0,32.8203929,35.0869133,מועצה אזורית זבולון,ישוב
נופית,2546.0,178.0,13.0,0.0,0.0,0.0,60.0,1027.984767,6459.0,32.7586157,35.14735,מועצה אזורית זבולון,ישוב
"כפר ביל""ו",881.8,63.0,4.0,0.0,0.0,0.0,58.0,450.2652901,1980.0,31.8774823,34.8203144,מועצה אזורית גזר,ישוב
משמרת,1058.0,60.0,4.0,0.0,0.0,0.0,61.0,554.2330075,2909.0,32.2279787,34.9220495,מועצה אזורית לב השרון,ישוב
עזריאל,876.0,53.0,7.0,0.0,0.0,0.0,60.0,458.8923635,2909.0,32.2629094,34.9712077,מועצה אזורית לב השרון,ישוב
ינוב,937.0,46.0,14.0,0.0,0.0,0.0,60.0,490.8471951,2909.0,32.3060551,34.9504619,מועצה אזורית לב השרון,ישוב
ניצני עוז,1121.0,43.0,12.0,0.0,0.0,0.0,59.0,587.235541,2909.0,32.3054855,35.0048861,מועצה אזורית לב השרון,ישוב
פורת,1295.0,57.0,5.0,0.0,0.0,0.0,61.0,678.3853902,2909.0,32.2762739,34.9494718,מועצה אזורית לב השרון,ישוב
נורדיה,1991.0,50.0,5.0,0.0,0.0,0.0,62.0,1042.984799,2909.0,32.31478,34.8961822,מועצה אזורית לב השרון,ישוב
עין ורד,1564.0,62.0,8.0,0.0,0.0,0.0,61.0,819.300965,2909.0,32.2653177,34.9317604,מועצה אזורית לב השרון,ישוב
תנובות,863.0,40.0,10.0,0.0,0.0,0.0,60.0,452.0823139,2909.0,32.305202,34.9620671,מועצה אזורית לב השרון,ישוב
צור משה,3253.0,51.0,12.0,0.0,0.0,0.0,62.0,1704.083158,2909.0,32.2978073,34.9135462,מועצה אזורית לב השרון,ישוב
עין שריד,1638.0,63.0,6.0,0.0,0.0,0.0,61.0,858.0658462,2909.0,32.2741205,34.9353718,מועצה אזורית לב השרון,ישוב
להבות חביבה,1061.0,42.0,5.0,0.0,0.0,0.0,61.0,546.4728088,6667.0,32.3958732,35.0103906,מועצה אזורית מנשה,ישוב
שדה יצחק,730.0,31.0,5.0,0.0,0.0,0.0,61.0,375.9897792,6667.0,32.4051186,34.9938162,מועצה אזורית מנשה,ישוב
מאור,1479.0,32.0,5.0,0.0,0.0,0.0,65.0,761.7655846,6667.0,32.4239237,35.006394,מועצה אזורית מנשה,ישוב
כפר הנוער בן שמן,1057.2,118.6,6.2,0.0,0.0,0.0,59.0,592.6291964200001,6080.0,31.9593427,34.9292611,מועצה אזורית חבל מודיעין,ישוב
גבעת כח,1180.6,135.0,5.0,0.0,0.0,0.0,52.0,661.80290508,6080.0,32.0302781,34.936667,מועצה אזורית חבל מודיעין,ישוב
אבו ליבדה,2244.4,50.8,8.0,0.0,0.0,0.0,56.0,3375.50651342,3667.0,31.9720509,34.845673,מועצה אזורית שדות דן,ישוב
דהמש,2380.2,52.6,9.8,0.0,0.0,0.0,58.0,3375.50651342,3667.0,31.9436754,34.8670813,מועצה אזורית שדות דן,ישוב
כפר הרא״ה,622.2,115.4,2.0,0.0,0.0,0.0,61.0,344.86010240200005,3915.0,32.3897506,34.9118525,מועצה אזורית עמק חפר,ישוב
ארסוף,1089.4,312.2,5.0,0.0,0.0,0.0,62.0,589.0489259799999,3021.0,32.2141274,34.8168147,מועצה אזורית חוף השרון,ישוב
חוות השומר,738.0,298.2,2.2,0.0,0.0,0.0,71.0,360.1351353,4622.0,32.7580406,35.4038394,מועצה אזורית גליל תחתון,ישוב
ואדי אל-חמאם,1752.2,215.4,7.4,0.0,0.0,0.0,71.0,777.07558924,664.0,32.8295555,35.4903983,מועצה אזורית אל בטוף,ישוב
מעלה צביה,1367.2,295.6,4.8,0.0,0.0,0.0,72.0,647.86027302,8060.0,32.8894552,35.3306239,מועצה אזורית משגב,ישוב
שומרת,772.8,17.0,3.0,0.0,0.0,0.0,64.0,365.58009144000005,7403.0,32.9504776,35.0965233,מועצה אזורית מטה אשר,ישוב
הר חלוץ,512.2,823.0,6.6,0.0,0.0,0.0,72.0,272.269729542,8060.0,32.950674,35.3121922,מועצה אזורית משגב,ישוב
מצפה אביב,835.2,122.0,4.4,0.0,0.0,0.0,65.0,395.76719158,8060.0,32.8369091,35.2020716,מועצה אזורית משגב,ישוב
עראמשה,798.8,428.0,14.4,0.0,0.0,0.0,69.0,304.37426713799994,7403.0,33.0885693,35.2265036,מועצה אזורית מטה אשר,ישוב
גבעת חביבה,1012.4,22.0,4.4,0.0,0.0,0.0,66.0,521.4411612600001,6667.0,32.4580225,35.0219504,מועצה אזורית מנשה,ישוב
יחד,690.6,186.4,1.8,0.0,0.0,0.0,71.0,327.24715339,8060.0,32.845569,35.360563,מועצה אזורית משגב,ישוב
פלך,202.0,497.0,1.0,1.0,0.0,0.0,70.0,95.71955513,8060.0,32.9338767,35.2335678,מועצה אזורית משגב,ישוב
חמדון,1367.2,295.6,4.8,0.0,0.0,0.0,72.0,647.86027302,8060.0,32.8849239,35.3646877,מועצה אזורית משגב,ישוב
ערב אל מוריסאת,1367.2,295.6,4.8,0.0,0.0,0.0,72.0,647.86027302,8060.0,32.8906881,35.3656747,מועצה אזורית משגב,ישוב
חוג'ייראת,1125.8,369.4,2.4,0.0,0.0,0.0,69.0,533.47066596,8060.0,32.8349762,35.2891689,מועצה אזורית משגב,ישוב
כמאנה מזרחית,1367.2,295.6,4.8,0.0,0.0,0.0,72.0,647.86027302,8060.0,32.9085306,35.3545572,מועצה אזורית משגב,ישוב
כמאנה,1063.0,429.8,1.8,0.0,0.0,0.0,68.0,503.71230898000005,8060.0,32.9087019,35.3364985,מועצה אזורית משגב,ישוב
ליבנים,725.0,324.4,6.0,0.0,0.0,0.0,71.0,385.38764952,7875.0,32.8639423,35.4935744,מועצה אזורית מרום הגליל,ישוב
ענבר,556.6,303.0,5.4,0.0,0.0,0.0,72.0,295.87140226,7875.0,32.9101401,35.4226255,מועצה אזורית מרום הגליל,ישוב
כרי נעמן,901.6,59.0,2.4,0.0,0.0,0.0,64.0,426.51010522000007,7403.0,32.8811651,35.0991091,מועצה אזורית מטה אשר,ישוב
ימין אורד,591.6,143.8,1.6,0.0,0.0,0.0,54.0,297.98473692000005,13678.0,32.7016557,34.9897773,מועצה אזורית חוף הכרמל,ישוב
אפק,763.0,46.0,2.0,1.0,1.0,1.0,63.0,360.9441184,7403.0,32.8401655,35.1278912,מועצה אזורית מטה אשר,ישוב
אדמית,286.0,430.0,1.0,1.0,1.0,1.0,69.0,135.294911,7403.0,33.0795856,35.2102543,מועצה אזורית מטה אשר,ישוב
אילון,1111.0,70.0,4.0,1.0,1.0,1.0,69.0,525.5686869,7403.0,33.0633456,35.2197473,מועצה אזורית מטה אשר,ישוב
אחיהוד,925.0,42.0,4.0,1.0,1.0,1.0,66.0,437.5796851,7403.0,32.908312,35.1723837,מועצה אזורית מטה אשר,ישוב
כפר פינס,1102.0,59.0,3.0,0.0,0.0,0.0,69.0,567.590038,6667.0,32.4838889,35.0034441,מועצה אזורית מנשה,ישוב
כפר גליקסון,356.0,62.0,1.0,0.0,0.0,0.0,67.0,183.3593993,6667.0,32.504959,35.004799,מועצה אזורית מנשה,ישוב
אום אל קוטוף,1201.0,329.0,7.0,0.0,0.0,0.0,61.0,618.5804411,6667.0,32.468056,35.058889,מועצה אזורית מנשה,ישוב
מי עמי,361.0,465.0,1.0,0.0,0.0,0.0,58.0,185.9346673,6667.0,32.5046656,35.1465087,מועצה אזורית מנשה,ישוב
מגל,1219.0,72.0,9.0,0.0,0.0,0.0,61.0,627.8514217,6667.0,32.38522,35.0351579,מועצה אזורית מנשה,ישוב
קציר,2944.0,336.0,12.0,0.0,0.0,0.0,57.0,1516.320401,6667.0,32.4886297,35.1016891,מועצה אזורית מנשה,ישוב
מצפה אילן,763.0,129.0,1.0,0.0,0.0,0.0,63.0,392.9865736,6667.0,32.461529,35.0691813,מועצה אזורית מנשה,ישוב
אל עריאן,190.0,84.0,2.0,0.0,0.0,0.0,57.0,97.86035172,6667.0,32.4979223,35.1255776,מועצה אזורית מנשה,ישוב
מייסר,2115.0,51.0,8.6,0.0,0.0,0.0,65.0,1076.59425452,6667.0,32.4451045,35.0404881,מועצה אזורית מנשה,ישוב
תלמי אלעזר,931.0,27.0,3.0,0.0,0.0,0.0,65.0,479.5157224,6667.0,32.4431655,34.9737349,מועצה אזורית מנשה,ישוב
שתולה,311.0,654.0,3.0,0.0,0.0,0.0,70.0,185.8237121,6874.0,33.084763,35.3143141,מועצה אזורית מעלה יוסף,ישוב
צוריאל,405.0,636.0,10.0,0.0,0.0,0.0,71.0,241.9890826,6874.0,33.0059947,35.3141186,מועצה אזורית מעלה יוסף,ישוב
עין יעקב,1226.0,421.0,8.0,0.0,0.0,0.0,69.0,732.5397833,6874.0,33.0095478,35.2292923,מועצה אזורית מעלה יוסף,ישוב
לפידות,126.0,471.0,1.0,0.0,0.0,0.0,71.0,75.28548847,6874.0,32.9592382,35.2620596,מועצה אזורית מעלה יוסף,ישוב
עבדון,674.0,176.0,4.0,0.0,0.0,0.0,68.0,402.7176297,6874.0,33.0479451,35.1794373,מועצה אזורית מעלה יוסף,ישוב
זרעית,237.0,23.0,5.0,0.0,0.0,0.0,70.0,141.6084227,6874.0,33.0996431,35.2886449,מועצה אזורית מעלה יוסף,ישוב
חוסן,1193.0,293.0,4.0,0.0,0.0,0.0,71.0,712.8221509,6874.0,32.9975754,35.2979856,מועצה אזורית מעלה יוסף,ישוב
מעונה,965.0,470.0,12.0,0.0,0.0,0.0,70.0,576.5912608,6874.0,33.0167071,35.2597388,מועצה אזורית מעלה יוסף,ישוב
אבן מנחם,285.0,608.0,10.0,0.0,0.0,0.0,70.0,170.2886094,6874.0,33.0736105,35.2941382,מועצה אזורית מעלה יוסף,ישוב
אלקוש,275.0,31.0,2.0,0.0,0.0,0.0,71.0,164.3135753,6874.0,33.0341637,35.3241745,מועצה אזורית מעלה יוסף,ישוב
שומרה,373.0,551.0,8.0,0.0,0.0,0.0,70.0,222.8689516,6874.0,33.0818094,35.2841818,מועצה אזורית מעלה יוסף,ישוב
יערה,806.0,162.0,7.0,0.0,0.0,0.0,68.0,481.5881464,6874.0,33.0674207,35.1858477,מועצה אזורית מעלה יוסף,ישוב
